"selected","oracle cloud infrastructure foundations associate","aws certified cloud practitioner","aws certified solutions architect - associate1","aws cloud practitioner","mta security fundamentals","mta python","google cloud certified associate cloud engineer","mta java","microsoft azure fundamentals","junipernetworksjnciajunosjn0103certifiedassociate","mta49","thub","owl coder","hero vired","both","photoshop","unreal engine","react js","bootstrap","cloud","python","java script","express js","c++","sql","maya","blender","css","c#","c","company_id"
"tessolve","1","1","0","1","1","1","1","0","1","0","0","1","1","0","0","1","0","1","1","1","1","1","1","0","0","0","1","0","0","1","90"
"appsassociates","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","1","1","0","0","0","0","1","1","0","0","0","91"
"jmangroup","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","92"
"tejasnetworks","1","1","0","0","0","1","0","0","0","0","0","1","1","0","0","1","1","1","0","1","0","1","0","1","0","0","0","0","0","0","93"
"evertzindia","1","1","0","0","0","1","1","0","0","0","0","1","1","0","0","1","1","1","1","1","1","1","1","0","0","0","1","0","0","0","94"
"smsinfrastructure","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","95"
"indiacements'","1","1","0","0","0","1","1","1","0","0","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","96"
"ltecc","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","1","0","0","1","1","0","1","0","1","0","1","0","97"
"nisargaits","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","1","1","1","1","0","0","0","1","1","1","0","98"
"techarionpvtltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","99"
"celebaltechnology","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","0","100"
"byjus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","101"
"cognizant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","102"
"tapplent","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","103"
"vintrus","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","104"
"acmegrade","1","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","1","1","1","1","0","1","0","1","1","0","0","1","1","0","105"
"cdk","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","106"
"kodnest","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","107"
"efftronics","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","108"
"softsuave","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","1","0","109"
"mayinkrishventurespvtltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","110"
